dia,habitat,punto,Peucaea mystacallis,Basileuterus rufifrons,Campylorhinchus jocosus,Camptostoma imberbe,Carduelis psaltria,Catherpes mexicanus,Columbina inca,Columbina passerina,Coragyps atratus,Corvus corax,Crotophaga sulcirostris,Cynanthus sordidus,Dendroica coronata,Haemorhous mexicanus,Hirunda rustica,Icterus cucullatus,Icterus pustulatus,Melanerpes hypopolius,Micrathene whitneyi,Mimus polyglottos,Molothrus aeneus,Momotus mexicanus,Myiarchus cinerascens,Passerina caerulea,Passerina versicolor,Aimophila aestivalis,Phainopepla nitens,Pheucticus chrysopeplus,Pheucticus melanocephalus,Pitangus sulphuratus,Polioptila caerulea,Pyrocephalus rubinus,Salpinctes obsoletus,Sayornis nigricans,Psiloscops flammeolus,Thryomanes bewickii,Toxostoma curvirostre,Trogon elegans,Tyrannus melancholicus,Tyrannus verticalis,Tyrannus vociferans,Zenaida asiatica,Zenaida macroura
5,tetechera,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0
5,tetechera,4,3,1,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,3,0
5,mezquitera,1,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,2,0
5,mezquitera,2,1,1,1,0,3,0,0,0,0,2,0,0,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,1,0
5,mezquitera,3,3,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,3,0,0,0,0,4,0
5,mezquitera,4,2,0,1,2,0,0,3,0,0,1,0,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,7,0
6,mezquitera,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,mezquitera,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,mezquitera,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,5,5
6,mezquitera,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0
6,mezquitera,5,4,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,2,1,0,0,2,3,0
6,cultivo,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,5,0
6,cultivo,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,2,3,0,0,0,1,0,0,1,1,0,1,2,1,0,0,0,4,0
6,cultivo,3,2,1,0,0,3,2,1,1,0,0,0,0,0,0,1,3,0,1,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
6,cultivo,4,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,3,1,0,2,0,4,0,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,tetechera,1,2,0,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1
6,tetechera,2,1,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,3,0
6,tetechera,3,2,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,2,5,0,1,1,0,0,0,0,0,0,5,6,0,0,2,1,2,0
6,tetechera,4,2,0,3,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,3
